,Reporter Code,Reporter,Partner Code,Partner,Trade Flow,Trade Value (US$),Trade Quantity,NetWeight
76,124,Canada,156,China,Import,3944,752,752.0
77,124,Canada,156,China,Export,1699401535,185419898,185419898.0
78,124,Canada,170,Colombia,Import,20,5,5.0
79,124,Canada,196,Cyprus,Import,159,22,22.0
80,124,Canada,246,Finland,Export,183891828,31614427,31614427.0
81,124,Canada,251,France,Import,34,9,9.0
82,124,Canada,276,Germany,Import,955131,17341,17341.0
83,124,Canada,276,Germany,Export,233553711,35269009,35269009.0
84,124,Canada,300,Greece,Export,2654485,320753,320753.0
85,124,Canada,328,Guyana,Export,244,46,46.0
86,124,Canada,344,"China, Hong Kong SAR",Export,600799,69811,69811.0
87,124,Canada,392,Japan,Import,2780,300,300.0
88,124,Canada,392,Japan,Export,930464912,103940433,103940433.0
89,124,Canada,410,Rep. of Korea,Export,286680218,31369745,31369745.0
90,124,Canada,458,Malaysia,Export,1102731,205178,205178.0
91,124,Canada,484,Mexico,Import,122645660,3706449,3706449.0
92,124,Canada,490,"Other Asia, nes",Export,152451168,16770040,16770040.0
93,124,Canada,504,Morocco,Import,126,34,34.0
94,124,Canada,508,Mozambique,Export,91,18,18.0
95,124,Canada,586,Pakistan,Export,18744,3588,3588.0
96,124,Canada,604,Peru,Import,35160842,2250572,2250572.0
97,124,Canada,608,Philippines,Export,172502511,18374895,18374895.0
98,124,Canada,624,Guinea-Bissau,Import,0,0,0.0
99,124,Canada,682,Saudi Arabia,Import,4544338,113840,113840.0
100,124,Canada,699,India,Export,122548773,13337480,13337480.0
101,124,Canada,710,South Africa,Import,50,6,6.0
102,124,Canada,724,Spain,Import,74,8,8.0
103,124,Canada,724,Spain,Export,40205431,4272820,4272820.0
104,124,Canada,752,Sweden,Export,60105190,6216162,6216162.0
105,124,Canada,757,Switzerland,Import,4413184,421588,421588.0
106,124,Canada,764,Thailand,Export,352167,60324,60324.0
107,124,Canada,842,USA,Import,491708924,39595450,39595450.0
108,124,Canada,842,USA,Export,99534369,10969124,10969124.0
109,152,Chile,0,World,Import,48531068,0,
110,152,Chile,0,World,Export,29939060932,3121686674,3121686674.0
111,152,Chile,32,Argentina,Import,8607,25340,25340.0
112,152,Chile,36,Australia,Import,209,1,1.0
113,152,Chile,36,Australia,Export,107493536,11250000,11250000.0
114,152,Chile,68,Bolivia (Plurinational State of),Import,1042274,434967,434967.0
115,152,Chile,76,Brazil,Import,39279127,9505340,9505340.0
116,152,Chile,76,Brazil,Export,306028183,31650600,31650600.0
117,152,Chile,100,Bulgaria,Import,1767,63,63.0
118,152,Chile,100,Bulgaria,Export,363431489,38992300,38992300.0
119,152,Chile,124,Canada,Import,11489,0,
120,152,Chile,124,Canada,Export,101425146,10591300,10591300.0
121,152,Chile,152,Chile,Import,31441,296,296.0
122,152,Chile,156,China,Import,5480,168,168.0
123,152,Chile,156,China,Export,20112211140,2095540000,2095540000.0
124,152,Chile,170,Colombia,Import,926,2,2.0
125,152,Chile,218,Ecuador,Import,472,3,3.0
126,152,Chile,231,Ethiopia,Import,436,1,1.0
127,152,Chile,246,Finland,Export,234614811,24394900,24394900.0
128,152,Chile,268,Georgia,Export,117268597,12134200,12134200.0
129,152,Chile,276,Germany,Import,156,1,1.0
130,152,Chile,276,Germany,Export,549268964,57020200,57020200.0
131,152,Chile,300,Greece,Export,28758685,3005720,3005720.0
132,152,Chile,381,Italy,Import,315,0,
133,152,Chile,392,Japan,Import,7556,167,167.0
134,152,Chile,392,Japan,Export,4496891431,468674000,468674000.0
135,152,Chile,398,Kazakhstan,Import,48055,3360,3360.0
136,152,Chile,410,Rep. of Korea,Import,2319,61,61.0
137,152,Chile,410,Rep. of Korea,Export,1038211850,108453000,108453000.0
138,152,Chile,458,Malaysia,Export,121207914,12717100,12717100.0
139,152,Chile,484,Mexico,Import,791,38,38.0
140,152,Chile,484,Mexico,Export,91374582,9521520,9521520.0
141,152,Chile,490,"Other Asia, nes",Export,232231155,24198000,24198000.0
142,152,Chile,516,Namibia,Export,23728787,2459030,2459030.0
143,152,Chile,558,Nicaragua,Import,164,13,13.0
144,152,Chile,604,Peru,Import,8078549,3449110,3449110.0
145,152,Chile,604,Peru,Export,112047294,11780200,11780200.0
146,152,Chile,608,Philippines,Export,231198075,24630000,24630000.0
147,152,Chile,616,Poland,Import,152,2,2.0
148,152,Chile,616,Poland,Export,27559736,2918070,2918070.0
149,152,Chile,699,India,Export,889756491,93136400,93136400.0
150,152,Chile,710,South Africa,Export,1316,136,136.0
151,152,Chile,724,Spain,Import,928,17,17.0
152,152,Chile,724,Spain,Export,612501077,63837100,63837100.0
153,152,Chile,752,Sweden,Export,51317418,5350630,5350630.0
154,152,Chile,757,Switzerland,Export,1408682,146518,146518.0
155,152,Chile,764,Thailand,Import,96,1,1.0
156,152,Chile,792,Turkey,Import,1355,1,1.0
157,152,Chile,792,Turkey,Export,75668187,7908190,7908190.0
158,152,Chile,826,United Kingdom,Import,2737,114,114.0
159,152,Chile,842,USA,Import,5656,106,106.0
160,152,Chile,842,USA,Export,13456376,1377560,1377560.0
161,344,"China, Hong Kong SAR",0,World,Import,204932,69395,69395.0
162,344,"China, Hong Kong SAR",0,World,Export,852958,69396,69396.0
163,344,"China, Hong Kong SAR",156,China,Import,204932,69395,69395.0
164,344,"China, Hong Kong SAR",156,China,Export,852958,69396,69396.0
165,203,Czechia,0,World,Import,1768,500,500.0
166,203,Czechia,381,Italy,Import,1768,500,500.0
167,208,Denmark,0,World,Import,3456,4,4.0
168,208,Denmark,579,Norway,Import,3456,4,4.0
169,214,Dominican Rep.,0,World,Export,43273547,28706000,28706000.0
170,214,Dominican Rep.,156,China,Export,24062427,15706000,15706000.0
171,214,Dominican Rep.,458,Malaysia,Export,13417720,8800000,8800000.0
172,214,Dominican Rep.,490,"Other Asia, nes",Export,5793400,4200000,4200000.0
173,218,Ecuador,0,World,Export,920099602,430514842,430514842.0
174,218,Ecuador,156,China,Export,851449859,399843150,399843150.0
175,218,Ecuador,484,Mexico,Export,324640,110000,110000.0
