source,target,weight
392,608,29
604,608,10038500
616,710,120
40,616,181120
70,616,123000
100,616,287761
178,616,1115
504,616,37906560
579,616,135
410,116,771361
410,764,359131
152,410,764825000
156,410,711
178,410,71750
516,410,3
591,410,91246470
598,410,74670490
604,410,467939600
704,410,840780
710,410,21768447
757,410,2
764,410,258190
784,410,27902545
792,410,10
842,410,29950125
894,410,21
620,276,14691221
620,688,4805920
620,724,10813912
724,620,301769
642,348,689
642,410,283256
642,616,297665
642,688,44071955
56,642,5
100,642,5438
276,642,5071
300,642,6469
348,642,25
364,642,1
688,156,24351311
688,499,15126900
688,724,19170550
688,792,43728
51,688,13550800
100,688,36596600
156,688,13
842,688,15036503
702,116,85795
702,410,347928
702,458,135
702,608,4675
702,784,99
458,702,4176
764,702,4648
842,702,348
710,116,3878640
710,180,71974
710,344,147066
710,384,7
710,458,1295780
710,508,177058940
710,516,103
710,704,14
710,716,4
710,724,307949
710,894,30888
124,710,1210
156,710,17
276,710,155
398,710,7518
484,710,3
504,710,80
716,710,16000
826,710,5
894,710,104090
144,36,37
144,156,36287
724,36,100
724,100,4540150
724,124,860
724,251,450
724,276,15830790
724,616,423058
724,752,34681850
51,724,84258000
152,724,269136250
178,724,68473
196,724,123718000
218,724,329400
251,724,583241
276,724,9200
499,724,51
504,724,16716900
591,724,144374000
604,724,104685000
642,724,252440
682,724,11449700
757,724,20
792,724,3258755
807,724,15
826,724,869900
842,724,106834925
752,276,3749000
752,792,42
152,752,21857000
276,752,17173
484,752,10315000
604,752,11902000
620,752,7630000
792,752,18082955
757,152,23
757,276,103
100,757,2
276,757,9
616,757,460
826,757,7
834,757,10
842,757,700810
764,344,157
764,418,635605
104,764,2594490
156,764,47517
392,764,125834
418,764,635605
807,100,31253900
792,100,156000000
792,826,349
792,842,335
36,792,411
51,792,1594180
152,792,39590800
842,792,1
156,800,39988
834,800,152
156,804,3200
180,804,3
826,56,400
826,233,1
826,276,43921
826,344,1
826,818,26
152,826,31
276,826,1
512,826,351
842,826,17
842,100,4354472
842,116,53639
842,214,242296
842,344,292705
842,454,9910
842,458,685903
842,499,1436630
842,604,394316
842,608,6245060
842,682,830
156,842,1064400
860,643,430
268,860,213150
398,860,92924520
643,860,3000000
762,860,6540240
344,704,40536
894,757,56058555
894,842,5967540
834,894,2188
