Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2019,2019,2019,6,1,0,X,757,Switzerland,CHE,0,World,W00,0,World,W00,C03,Outright exportation,3200,Road,260300,Copper ores and concentrates,8,kg,206,-1,N/A,0,206,0,301,,301.812,0
H5,2019,2019,2019,6,1,0,X,757,Switzerland,CHE,0,World,W00,0,World,W00,C03,Outright exportation,1000,Air,260300,Copper ores and concentrates,8,kg,9244,-1,N/A,0,9244,0,13550,,13550.339,0
H5,2019,2019,2019,6,1,0,X,757,Switzerland,CHE,0,World,W00,0,World,W00,C03,Outright exportation,0,All MOTs,260300,Copper ores and concentrates,8,kg,9450,-1,N/A,0,9450,0,13852,,13852.15,0
H5,2019,2019,2019,6,1,0,X,757,Switzerland,CHE,0,World,W00,0,World,W00,C00,All CPCs,1000,Air,260300,Copper ores and concentrates,8,kg,9244,-1,N/A,0,9244,0,13550,,13550.339,0
H5,2019,2019,2019,6,1,0,X,757,Switzerland,CHE,0,World,W00,0,World,W00,C00,All CPCs,3200,Road,260300,Copper ores and concentrates,8,kg,206,-1,N/A,0,206,0,301,,301.812,0
H5,2019,2019,2019,6,1,0,X,757,Switzerland,CHE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,260300,Copper ores and concentrates,8,kg,9450,-1,N/A,0,9450,0,13852,,13852.15,0
H5,2019,2019,2019,6,1,0,X,764,Thailand,THA,0,World,W00,0,World,W00,C00,All CPCs,1000,Air,260300,Copper ores and concentrates,8,kg,446,-1,N/A,0,446,0,8436,,8436.6,6
H5,2019,2019,2019,6,1,0,X,764,Thailand,THA,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,260300,Copper ores and concentrates,8,kg,446,-1,N/A,0,446,0,8436,,8436.6,6
H5,2019,2019,2019,6,1,0,M,764,Thailand,THA,0,World,W00,0,World,W00,C00,All CPCs,2100,Sea,260300,Copper ores and concentrates,8,kg,104650,-1,N/A,0,104650,0,27209,27209.02,,6
H5,2019,2019,2019,6,1,0,M,764,Thailand,THA,0,World,W00,0,World,W00,C00,All CPCs,1000,Air,260300,Copper ores and concentrates,8,kg,359,-1,N/A,0,359,0,93,93.56,,6
