Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2019,2019,2019,6,1,1,Import,246,Finland,FIN,604,Peru,PER,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,52678554,,,,52678554,,84612116,,,6
H5,2019,2019,2019,6,1,1,Import,246,Finland,FIN,620,Portugal,PRT,,,,,,,,260300,Copper ores and concentrates,1,No Quantity,0,,,,,,123877576,,,6
H5,2019,2019,2019,6,1,2,Export,246,Finland,FIN,699,India,IND,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,48,,,,48,,396,,,0
H5,2019,2019,2019,6,1,1,Import,246,Finland,FIN,724,Spain,ESP,,,,,,,,260300,Copper ores and concentrates,1,No Quantity,0,,,,,,5719024,,,6
H5,2019,2019,2019,6,1,1,Import,246,Finland,FIN,752,Sweden,SWE,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,30951543,,,,30951543,,49714225,,,6
H5,2019,2019,2019,6,1,2,Export,246,Finland,FIN,752,Sweden,SWE,,,,,,,,260300,Copper ores and concentrates,1,No Quantity,0,,,,,,93206085,,,6
H5,2019,2019,2019,6,1,2,Export,246,Finland,FIN,757,Switzerland,CHE,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,6,,,,6,,2,,,0
H5,2019,2019,2019,6,1,1,Import,246,Finland,FIN,792,Turkey,TUR,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,70,,,,70,,55,,,0
H5,2019,2019,2019,6,1,1,Import,251,France,FRA,0,World,WLD,,,,,,,,260300,Copper ores and concentrates,1,No Quantity,0,,,,,,30067,,,6
H5,2019,2019,2019,6,1,2,Export,251,France,FRA,0,World,WLD,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,5152000,,,,5152000,,14776462,,,0
